"Name","Mobile number","Date and time of receive SMS","Date and time of GPS position","Battery state","VHF telemetry","GSM signal level","GPS interval","VHF interval","Temperature","Activity","Lat","Long"
"CZEA01","48603372075","2013-09-01 07:00","2013-09-01 03:00","4,1","off","19","3","0","27.0 st. C","23","19.544399","49.139233"
"CZEA01","48603372075","2013-09-01 07:00","2013-09-01 04:00","4,1","off","19","3","0","26.0 st. C","23","19.542933","49.139283"
"CZEA01","48603372075","2013-09-01 07:00","2013-09-01 05:00","4,1","off","19","3","0","26.0 st. C","23","19.542966","49.13943299999999"
"CZEA01","48603372075","2013-09-01 11:00","2013-09-01 06:00","4,12","off","19","3","0","30.0 st. C","28","19.542516","49.13934900000001"
"CZEA01","48603372075","2013-09-01 11:00","2013-09-01 07:00","4,12","off","19","3","0","32.0 st. C","28","19.543566","49.13854900000001"
"CZEA01","48603372075","2013-09-01 11:00","2013-09-01 08:00","4,12","off","19","3","0","29.0 st. C","28","19.538899","49.142166"
"CZEA01","48603372075","2013-09-01 11:00","2013-09-01 09:00","4,12","off","19","3","0","30.0 st. C","28","19.538799","49.143116"
"CZEA01","48603372075","2013-09-01 15:00","2013-09-01 10:00","4,15","off","12","3","0","24.0 st. C","30","19.538166","49.14298300000001"
"CZEA01","48603372075","2013-09-01 15:00","2013-09-01 11:00","4,15","off","12","3","0","24.0 st. C","30","19.538083","49.14268299999999"
"CZEA01","48603372075","2013-09-01 15:00","2013-09-01 12:00","4,15","off","12","3","0","23.0 st. C","30","19.547483","49.137383"
"CZEA01","48603372075","2013-09-01 15:00","2013-09-01 13:00","4,15","off","12","3","0","27.0 st. C","30","19.555933","49.143516"
"CZEA01","48603372075","2013-09-01 19:00","2013-09-01 14:00","4,15","off","25","3","0","27.0 st. C","52","19.544999","49.13934900000001"
"CZEA01","48603372075","2013-09-01 19:00","2013-09-01 15:00","4,15","off","25","3","0","28.0 st. C","52","19.541566","49.13779899999999"
"CZEA01","48603372075","2013-09-01 19:00","2013-09-01 16:00","4,15","off","25","3","0","27.0 st. C","52","19.532432","49.141583"
"CZEA01","48603372075","2013-09-01 19:00","2013-09-01 17:00","4,15","off","25","3","0","25.0 st. C","52","19.551816","49.14273300000001"
"CZEA01","48603372075","2013-09-02 06:00","2013-09-01 18:00","4,12","off","20","3","0","28.0 st. C","19","19.554966","49.143233"
"CZEA01","48603372075","2013-09-02 06:00","2013-09-01 19:00","4,12","off","20","3","0","28.0 st. C","19","19.555333","49.143433"
"CZEA01","48603372075","2013-09-02 06:00","2013-09-02 03:00","4,12","off","20","3","0","30.0 st. C","19","19.554716","49.143033"
"CZEA01","48603372075","2013-09-02 06:00","2013-09-02 04:00","4,12","off","20","3","0","24.0 st. C","19","19.542666","49.13926600000001"
"CZEA01","48603372075","2013-09-02 10:00","2013-09-02 05:00","4,17","off","22","3","0","24.0 st. C","38","19.542866","49.139316"
"CZEA01","48603372075","2013-09-02 10:00","2013-09-02 06:00","4,17","off","22","3","0","29.0 st. C","38","19.542683","49.139116"
"CZEA01","48603372075","2013-09-02 10:00","2013-09-02 07:00","4,17","off","22","3","0","33.0 st. C","38","19.536116","49.141449"
"CZEA01","48603372075","2013-09-02 10:00","2013-09-02 08:00","4,17","off","22","3","0","26.0 st. C","38","19.543133","49.141849"
"CZEA01","48603372075","2013-09-02 14:00","2013-09-02 09:00","4,16","off","21","3","0","24.0 st. C","58","19.538999","49.142449"
"CZEA01","48603372075","2013-09-02 14:00","2013-09-02 10:00","4,16","off","21","3","0","25.0 st. C","58","19.546816","49.143416"
"CZEA01","48603372075","2013-09-02 14:00","2013-09-02 11:00","4,16","off","21","3","0","23.0 st. C","58","19.546466","49.14546599999999"
"CZEA01","48603372075","2013-09-02 14:00","2013-09-02 12:00","4,16","off","21","3","0","28.0 st. C","58","19.545799","49.13946599999999"
"CZEA01","48603372075","2013-09-02 18:00","2013-09-02 13:00","4,17","off","23","3","0","24.0 st. C","43","19.551766","49.142699"
"CZEA01","48603372075","2013-09-02 18:00","2013-09-02 14:00","4,17","off","23","3","0","23.0 st. C","43","19.556816","49.146583"
"CZEA01","48603372075","2013-09-02 18:00","2013-09-02 15:00","4,17","off","23","3","0","24.0 st. C","43","19.541266","49.143383"
"CZEA01","48603372075","2013-09-02 18:00","2013-09-02 16:00","4,17","off","23","3","0","30.0 st. C","43","19.541549","49.143366"
"CZEA01","48603372075","2013-09-03 05:01","2013-09-02 17:00","4,15","off","19","3","0","26.0 st. C","27","19.55565","49.141833"
"CZEA01","48603372075","2013-09-03 05:01","2013-09-02 18:00","4,15","off","19","3","0","30.0 st. C","27","19.556766","49.141716"
"CZEA01","48603372075","2013-09-03 05:01","2013-09-02 19:00","4,15","off","19","3","0","33.0 st. C","27","19.5567","49.141699"
"CZEA01","48603372075","2013-09-03 05:01","2013-09-03 03:00","4,15","off","19","3","0","34.0 st. C","27","19.556716","49.14123300000001"
"CZEA01","48603372075","2013-09-03 09:00","2013-09-03 04:00","4,15","off","19","3","0","31.0 st. C","12","19.556233","49.14143299999999"
"CZEA01","48603372075","2013-09-03 09:00","2013-09-03 05:00","4,15","off","19","3","0","26.0 st. C","12","19.554283","49.142566"
"CZEA01","48603372075","2013-09-03 09:00","2013-09-03 06:00","4,15","off","19","3","0","24.0 st. C","12","19.551866","49.142233"
"CZEA01","48603372075","2013-09-03 09:00","2013-09-03 07:00","4,15","off","19","3","0","23.0 st. C","12","19.549316","49.14153300000001"
"CZEA01","48603372075","2013-09-03 13:01","2013-09-03 08:00","4,16","off","24","3","0","23.0 st. C","69","19.549483","49.141599"
"CZEA01","48603372075","2013-09-03 13:01","2013-09-03 09:00","4,16","off","24","3","0","39.0 st. C","69","19.543499","49.143483"
"CZEA01","48603372075","2013-09-03 13:01","2013-09-03 10:00","4,16","off","24","3","0","30.0 st. C","69","19.551316","49.144716"
"CZEA01","48603372075","2013-09-03 13:01","2013-09-03 11:00","4,16","off","24","3","0","35.0 st. C","69","19.549299","49.134433"
"CZEA01","48603372075","2013-09-03 14:22","2013-09-03 12:00","4,17","off","20","3","0","33.0 st. C","","19.61185","49.114516"
"CZEA01","48603372075","2013-09-03 14:25","2013-09-03 12:22","4,17","off","17","3","0","35.0 st. C","1","19.599083","49.122416"
"CZEA01","48603372075","2013-09-03 14:25","2013-09-03 12:23","4,17","off","17","3","0","34.0 st. C","1","19.599049","49.12239900000001"
"CZEA01","48603372075","2013-09-03 14:25","2013-09-03 12:24","4,17","off","17","3","0","34.0 st. C","1","19.599066","49.122416"
"CZEA01","48603372075","2013-09-03 18:00","2013-09-03 13:00","4,18","off","15","3","0","28.0 st. C","44","19.603833","49.110983"
"CZEA01","48603372075","2013-09-03 18:00","2013-09-03 14:00","4,18","off","15","3","0","37.0 st. C","44","19.598533","49.122932"
"CZEA01","48603372075","2013-09-03 18:00","2013-09-03 15:00","4,18","off","15","3","0","26.0 st. C","44","19.596233","49.121132"
"CZEA01","48603372075","2013-09-03 18:00","2013-09-03 16:00","4,18","off","15","3","0","21.0 st. C","44","19.585966","49.123749"
"CZEA01","48603372075","2013-09-04 05:01","2013-09-03 17:00","4,15","off","18","3","0","27.0 st. C","28","19.55915","49.142349"
"CZEA01","48603372075","2013-09-04 05:01","2013-09-03 18:00","4,15","off","18","3","0","28.0 st. C","28","19.559333","49.142283"
"CZEA01","48603372075","2013-09-04 05:01","2013-09-03 19:00","4,15","off","18","3","0","31.0 st. C","28","19.559566","49.142399"
"CZEA01","48603372075","2013-09-04 05:01","2013-09-04 03:00","4,15","off","18","3","0","31.0 st. C","28","19.559333","49.142283"
"CZEA01","48603372075","2013-09-04 09:01","2013-09-04 04:00","4,19","off","21","3","0","25.0 st. C","26","19.5568","49.141616"
"CZEA01","48603372075","2013-09-04 09:01","2013-09-04 05:00","4,19","off","21","3","0","24.0 st. C","26","19.556666","49.141716"
"CZEA01","48603372075","2013-09-04 09:01","2013-09-04 06:00","4,19","off","21","3","0","30.0 st. C","26","19.549883","49.13404900000001"
